Track Name,Track ID,Duration (ms),Track Popularity,Track Number,URI,Album Name,Album ID,Artist Name,Track GQ,Artist ID,Artist Popularity,Followers,Genres,Artist GQ
슬픈 인연,5V1YiL6I16CYhx6bFyuF3t,244509,30,9,spotify:track:5V1YiL6I16CYhx6bFyuF3t,기억속의 멜로디,3bQEUGF2WB3YyIucl9rGKi,015B,classic korean pop,4uU7KfTjcjyKUGWSaTzLu7,36,45166,classic k-pop,classic k-pop
이젠 안녕,24GjmH6xcIsFFKCKLoGxHU,281446,35,2,spotify:track:24GjmH6xcIsFFKCKLoGxHU,Second Episode,3879ZrpEGIQxBGOMoYWlJm,015B,korean electropop,4uU7KfTjcjyKUGWSaTzLu7,36,45166,classic k-pop,classic k-pop
Goodbye Now,2RRFwnZ8xhh8JEXKCCPfHh,277960,32,11,spotify:track:2RRFwnZ8xhh8JEXKCCPfHh,Yearbook 2018,4iHiAaf5pr4QaUXjDqD6sA,015B,korean electropop,4uU7KfTjcjyKUGWSaTzLu7,36,45166,classic k-pop,classic k-pop
Sadness Of Love,3EN6dsVRR4PMgZ8bgdOJEk,214831,27,2,spotify:track:3EN6dsVRR4PMgZ8bgdOJEk,Lee Chi Hyun & friends Complete Collection,0QqDAYgD84tjMSpFUEmQ2Z,Lee Chi Hyun,classic korean pop,3fVeVHYR6pufCtLh7k83Xl,21,743,classic korean pop,classic korean pop
한걸음 더,6XyxK8337FQpADHBqBoFnb,187794,33,2,spotify:track:6XyxK8337FQpADHBqBoFnb,윤상 베스트,1YysLIRjwu8YYNhUBVfqb1,Yoon Sang,classic korean pop,6sxtN9maIhNAu663hY5g6B,30,25187,classic korean pop,classic k-pop
추억속의그대,5xtATcLzRFvpEAWlKcKivO,207008,30,1,spotify:track:5xtATcLzRFvpEAWlKcKivO,황치훈1집,2sTNUF4zLROU2gCyaTQ524,황치훈,classic korean pop,1KlbpZyhUiiO4EsvJiguwE,16,938,classic korean pop,classic korean pop
Piero laughs at us,0fGbon58TJAGc3wNRkAUKV,206710,31,3,spotify:track:0fGbon58TJAGc3wNRkAUKV,Piero laughs at us,7wla8Ntrpvs2VjRj5NB9qj,Kim Wan-sun,classic korean pop,3e0aTvNjIG93ye2YlL90UF,27,6396,classic korean pop,classic korean pop
새들처럼,6T7ou259GBVcC3bOCjiFwP,256078,30,2,spotify:track:6T7ou259GBVcC3bOCjiFwP,변진섭 GREAT HITS,3XkxLUi2NnZfMBDExgQ34M,Byun Jin-Sub,classic korean pop,19TSeYJNZVClzoWb6hUVr7,29,17525,classic korean pop,classic k-pop
Wi Ing Wi Ing,66UcQu5LBo2A7AC0A5r0lI,194866,56,4,spotify:track:66UcQu5LBo2A7AC0A5r0lI,20,6bzkEKKOMT3I3jaIrUtEaO,HYUKOH,k-indie,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
TOMBOY,6DA7kCWYMggJjqPM84V2Ng,241692,53,4,spotify:track:6DA7kCWYMggJjqPM84V2Ng,23,2VDNZYzubQxFNOR3qD1K9B,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Comes and Goes,0Nld5ohgWfoPueMEtYNbgE,228320,50,2,spotify:track:0Nld5ohgWfoPueMEtYNbgE,22,5JMSzU0FPsOut85jmhHbfw,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Gondry,7lPFh8HF5FFMzSIUOwvRTm,308226,46,6,spotify:track:7lPFh8HF5FFMzSIUOwvRTm,22,5JMSzU0FPsOut85jmhHbfw,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
LOVE YA!,70M62MNyEskm9on3FiDubd,251964,47,3,spotify:track:70M62MNyEskm9on3FiDubd,24 : How to find true love and happiness,5PBv1FrNgnUw7mb3k4OmMo,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
World of the Forgotten,1Y9X9hor7eG03pjd72fhOs,93451,42,5,spotify:track:1Y9X9hor7eG03pjd72fhOs,through love,4EatQJRcz4Hd39rrmLMTtK,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Mer,5t5ARYAaHrPA1pto1qdeuA,304320,39,4,spotify:track:5t5ARYAaHrPA1pto1qdeuA,22,5JMSzU0FPsOut85jmhHbfw,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Hey Sun,1q9VpYI2QQAa3EPZ0U5iEu,205598,39,2,spotify:track:1q9VpYI2QQAa3EPZ0U5iEu,through love,4EatQJRcz4Hd39rrmLMTtK,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Paul,34I9xTKNDIOYqqfT43h3Mv,270621,43,11,spotify:track:34I9xTKNDIOYqqfT43h3Mv,23,2VDNZYzubQxFNOR3qD1K9B,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Ohio,53EC95VrvT6Ne0ZfJLAQM9,249586,41,3,spotify:track:53EC95VrvT6Ne0ZfJLAQM9,20,6bzkEKKOMT3I3jaIrUtEaO,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Gang Gang Schiele,6expenL2Lds9FN3uZ5K9Rx,277990,37,5,spotify:track:6expenL2Lds9FN3uZ5K9Rx,24 : How to find true love and happiness,5PBv1FrNgnUw7mb3k4OmMo,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Jesus lived in a motel room,34V7QPilSltvAutIaHzBkI,307121,36,6,spotify:track:34V7QPilSltvAutIaHzBkI,23,2VDNZYzubQxFNOR3qD1K9B,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Silverhair Express,2ZuZ7cB622OaqjOEhN8keA,212994,35,3,spotify:track:2ZuZ7cB622OaqjOEhN8keA,through love,4EatQJRcz4Hd39rrmLMTtK,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Hooka,6NGZdBo2KRuFfmZVBxavcu,224560,35,5,spotify:track:6NGZdBo2KRuFfmZVBxavcu,22,5JMSzU0FPsOut85jmhHbfw,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
New born,1pB3A9BwENsg9zsA8Sqxuv,525697,33,6,spotify:track:1pB3A9BwENsg9zsA8Sqxuv,through love,4EatQJRcz4Hd39rrmLMTtK,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
I Have No Hometown,3odrY2Dx3r8LLM2vWt7Eg2,245066,33,6,spotify:track:3odrY2Dx3r8LLM2vWt7Eg2,20,6bzkEKKOMT3I3jaIrUtEaO,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Die alone,0a6jzYgYdtGJIoj5NtflVE,297569,33,8,spotify:track:0a6jzYgYdtGJIoj5NtflVE,23,2VDNZYzubQxFNOR3qD1K9B,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Lonely,5FgzGL2fM9o3LDJUjU26zo,174600,34,1,spotify:track:5FgzGL2fM9o3LDJUjU26zo,20,6bzkEKKOMT3I3jaIrUtEaO,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Panda Bear,5EgUtAK5ddqrt90FlDr6MF,202213,33,2,spotify:track:5EgUtAK5ddqrt90FlDr6MF,Panda Bear,1TSacrvxmHkHyS6M8chHzs,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Settled Down,64IYczKIJnJlrBuJczcMIl,291960,32,1,spotify:track:64IYczKIJnJlrBuJczcMIl,22,5JMSzU0FPsOut85jmhHbfw,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
