Track Name,Track ID,Duration (ms),Popularity,Track Number,URI,Album Name,Album ID,Artists,Genre Queried,Track Image
Fuck you,6mCh7CBbIMcEkYIOioLwvU,154693,21,3,spotify:track:6mCh7CBbIMcEkYIOioLwvU,Born Rude,0vAIuVpzmDGDVCmgdXfvwg,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b273e83b4e6ff194d891c9ea511a
National Police Shit,6kcHBBYyMPRtniP1hRvBjb,93333,17,2,spotify:track:6kcHBBYyMPRtniP1hRvBjb,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
Criminal,7MZmFPyQNWvHKQzcC6WE9M,132551,16,1,spotify:track:7MZmFPyQNWvHKQzcC6WE9M,DEMO 2023,6fRdNWeLCOSJM3NfMAJxz1,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b27371fbc1c6cefbdfea464a069e
Keep Drinking!!,5TkEzSB1hGwj0ytAUZFMfW,56709,15,1,spotify:track:5TkEzSB1hGwj0ytAUZFMfW,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
Linda Linda - Korean,04EJoMuVtdnsSFzW1x5PF7,152213,18,2,spotify:track:04EJoMuVtdnsSFzW1x5PF7,Linda Linda,5Kl8JwVRVMnGF8bPBEW3EO,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b2732e285ca68358a2371f59bd73
말달리자 Speed Up Losers,42OTaKIDWseqiU8qflqjap,186000,19,3,spotify:track:42OTaKIDWseqiU8qflqjap,말달리자 Speed Up Losers,2qGZXupHBC6oJQawNh13Pc,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b273969dadba57c706710af7deec
Punk rocker,7J1FZ82o9RJ2QEo8IxL7xk,176786,19,2,spotify:track:7J1FZ82o9RJ2QEo8IxL7xk,PUNK is nowhere,2e7ECUXsMlO05E5L3eVFib,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b2735d42497d6bbdb672a606f309
There Is No Spring,2HDhw1p8k614K2AZFp55bR,152040,14,3,spotify:track:2HDhw1p8k614K2AZFp55bR,Marriage License,5NZiSXuHXNIFtpECXLSC2u,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273f06c0f29bb561e21b36a0ef0
Drinking everyday,5uMYTUyZ0pE2H42f8JtmA8,142133,18,1,spotify:track:5uMYTUyZ0pE2H42f8JtmA8,Born Rude,0vAIuVpzmDGDVCmgdXfvwg,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b273e83b4e6ff194d891c9ea511a
Turn It Up,6wFKwkqFmB3SJcJ7dCodMp,59925,27,3,spotify:track:6wFKwkqFmB3SJcJ7dCodMp,Electric Jungle,1aIyeNpu0Z2tKtOfIjSZp0,Galaxy Express,korean punk,https://i.scdn.co/image/ab67616d0000b273495999a2c7c281b5c3cf6052
넌 내게 반했어,1Bjds5pJTvgzlheWp1oHGo,223653,20,1,spotify:track:1Bjds5pJTvgzlheWp1oHGo,Stand Up Again!,2qO7VvHG10c8nBPsiH1Va3,No Brain,korean punk,https://i.scdn.co/image/ab67616d0000b273326ca0b6bf1e43e95b77671e
Violent Minds,4x88JVyM8Q6si09Eo1fnyC,90187,14,8,spotify:track:4x88JVyM8Q6si09Eo1fnyC,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
룩셈부르크 Luxembourg,0JvKtUqGrzI0XZQzrMdxe2,145146,19,2,spotify:track:0JvKtUqGrzI0XZQzrMdxe2,OK 목장의 젖소 Milk Cattle at the OK Corral,2ohRyGLhnzSVe1ajSigoWf,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b2736949d240454882b11aed22bb
비둘기,5I32QWIUiTn0t2oWaptmX7,122624,18,6,spotify:track:5I32QWIUiTn0t2oWaptmX7,불편한 파티,14on3xMBI3LbIoG83XQPId,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b273f2ea7fc2d35f8bfdd1c8e79b
Travesty,7Bk5cHTdeipCxWPwopHdJZ,108374,13,5,spotify:track:7Bk5cHTdeipCxWPwopHdJZ,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
Red Shift,3MBNzfpS3qBryZl5i6uVeY,303833,12,5,spotify:track:3MBNzfpS3qBryZl5i6uVeY,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
Modern Addictions,3N93N9aKe9RTbdTD9GMFfJ,91208,12,9,spotify:track:3N93N9aKe9RTbdTD9GMFfJ,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
Prison,54ttWDoRXTWNg7ZKZ6FRoC,104000,12,6,spotify:track:54ttWDoRXTWNg7ZKZ6FRoC,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
Rude girl OI,2U1stOMy9ZTosFc033mquA,129985,16,2,spotify:track:2U1stOMy9ZTosFc033mquA,Born Rude,0vAIuVpzmDGDVCmgdXfvwg,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b273e83b4e6ff194d891c9ea511a
drift - 2016 Version,5nSZtBwwLdqKOCxlIxNNGR,231280,10,4,spotify:track:5nSZtBwwLdqKOCxlIxNNGR,divert,43xgo2sps2xnQFO349hQ1W,we hate jh,korean punk,https://i.scdn.co/image/ab67616d0000b273080e6a69e11a4e0b081c8221
Cleaning,0hUZzSfrGN8rKlj7JKBbH4,185333,19,1,spotify:track:0hUZzSfrGN8rKlj7JKBbH4,"Clean With Passion For Now, Pt. 6 (Original Television Soundtrack)",7pYjGvs3hDtXZqcTWWw1Ee,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b273c8c6497186143d1457019170
Stranger,0nYGwc4zZbhnZa9S7Do1ck,99333,12,3,spotify:track:0nYGwc4zZbhnZa9S7Do1ck,DEMO 2023,6fRdNWeLCOSJM3NfMAJxz1,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b27371fbc1c6cefbdfea464a069e
Goodbye Song,4Zvw8jTgZ4DYYkpmSdHlOu,128578,14,3,spotify:track:4Zvw8jTgZ4DYYkpmSdHlOu,Brutality,4U6EvGVNPu0cifZxcNp1Qg,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b2730af6e6d64b24b29fc42aae36
Effigy,0D3Ep6NcoLzI9yFY0JqrbN,76812,12,7,spotify:track:0D3Ep6NcoLzI9yFY0JqrbN,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
Casualty,4i3xaZG7P9DxY9xICNbqpd,147166,12,10,spotify:track:4i3xaZG7P9DxY9xICNbqpd,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
Dejected,2HfQS3Mwotx1bYoKU0esH6,106083,12,2,spotify:track:2HfQS3Mwotx1bYoKU0esH6,DEMO 2023,6fRdNWeLCOSJM3NfMAJxz1,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b27371fbc1c6cefbdfea464a069e
Ginkgo Tree Boys,2QbO3pVYIsiFjKbtzIY4rt,339520,14,1,spotify:track:2QbO3pVYIsiFjKbtzIY4rt,Greenroom,3xF0LAEUExCD6Ndw642WX3,초록불꽃소년단,korean punk,https://i.scdn.co/image/ab67616d0000b2732d4e7397d25a19f8fd6b2fa0
Let's go,7HXq2pQXEc9M0rCbFhJoz1,174000,14,1,spotify:track:7HXq2pQXEc9M0rCbFhJoz1,Let's go,55j8ZfzCK6dgcO4cUF4g89,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b27317c3a333a48e300bef91c994
Hunger,77VbNLMJM7CRSyHFnoW8Sh,108672,11,1,spotify:track:77VbNLMJM7CRSyHFnoW8Sh,Vain Attempt,0YGpPCVfsXBacLA4tCKHSh,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273253e89fa19e1ead03162b1cf
서커스 매직 유랑단 Circus Magic Clowns,4kFHd8N3mzYUNS0WFG4HmO,243200,20,1,spotify:track:4kFHd8N3mzYUNS0WFG4HmO,서커스 매직 유랑단 Circus Magic Clowns,3IcCMyt1uE97C130L1vPc3,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b27303f585920d8f935a8ef78867
Dry Heave,0Y2DSviPUASQPI9Pytq3Kx,80804,9,4,spotify:track:0Y2DSviPUASQPI9Pytq3Kx,Vain Attempt,0YGpPCVfsXBacLA4tCKHSh,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273253e89fa19e1ead03162b1cf
"BIG NINE, Let's Go",7sxfzl7oiuE5GgblbPe38h,150146,10,1,spotify:track:7sxfzl7oiuE5GgblbPe38h,"BIG NINE, Let's go",0WRJzyTaxSVUV4gpMV82aq,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273acf99efd11b59e786c3e6f21
Air My Skin,0hUjFR0EmSHonbhU1T80Xf,319430,10,3,spotify:track:0hUjFR0EmSHonbhU1T80Xf,Neon-Coloured Milky Way,5bjsHIgkSaTNZPbkS64EpF,DTSQ,korean punk,https://i.scdn.co/image/ab67616d0000b273ed932b1f0421f8d213b9bafa
Time,3lCV6aKYUlZeZS7jBQdxds,169013,9,4,spotify:track:3lCV6aKYUlZeZS7jBQdxds,Marriage License,5NZiSXuHXNIFtpECXLSC2u,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273f06c0f29bb561e21b36a0ef0
Tokyo Motel,2ixuAmw8fl7tlSx776sCf4,195976,21,11,spotify:track:2ixuAmw8fl7tlSx776sCf4,GREENBRIDGE,0XLz5gAunbALBC0QzGx1Tk,초록불꽃소년단,korean punk,https://i.scdn.co/image/ab67616d0000b2734b87f0f171a3dd2f62682267
Scorn,0Q5pAnJ3u7Ahs3h4jMWCHe,122297,10,3,spotify:track:0Q5pAnJ3u7Ahs3h4jMWCHe,Vain Attempt,0YGpPCVfsXBacLA4tCKHSh,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273253e89fa19e1ead03162b1cf
